en_name,en_time,en_len,zh_name,zh_time,need_update
Power armor MK2,2021-10-29 16:56:19,1068,Power armor MK2/zh,2018-07-26 03:06:13,True
Power armor MK2 (research),2019-05-02 19:52:17,134,Power armor MK2 (research)/zh,2019-05-02 19:52:47,False
Power production,2020-10-27 13:19:54,6281,Power production/zh,2018-07-26 16:59:43,True
Power switch,2020-07-15 09:22:45,1972,Power switch/zh,2018-07-10 08:36:57,True
Processing unit,2020-09-17 06:15:51,881,Processing unit/zh,2017-08-17 11:44:22,True
Production science pack,2021-02-13 02:54:13,2374,Production science pack/zh,2018-07-18 02:41:32,True
Production science pack (research),2020-09-14 06:49:46,202,Production science pack (research)/zh,2022-01-22 04:24:23,False
Productivity module,2020-12-25 18:49:42,1615,Productivity module/zh,2018-07-18 06:24:32,True
Productivity module (research),2017-07-19 16:51:14,134,Productivity module (research)/zh,2018-07-12 12:59:12,False
Productivity module 2,2020-12-25 18:50:38,1625,Productivity module 2/zh,2018-07-18 06:26:55,True
Productivity module 2 (research),2017-07-19 16:51:22,131,Productivity module 2 (research)/zh,2018-07-12 13:00:41,False
Productivity module 3,2020-12-25 18:50:57,1581,Productivity module 3/zh,2018-07-18 06:27:54,True
Productivity module 3 (research),2017-07-19 16:51:34,131,Productivity module 3 (research)/zh,2018-07-12 13:01:16,False
Programmable speaker,2021-11-17 16:07:50,2338,Programmable speaker/zh,2018-07-10 05:49:25,True
Provider chest,2020-10-01 15:37:23,501,Provider chest/zh,2018-06-28 05:39:52,True
Pump,2020-09-12 23:27:02,3117,Pump/zh,2018-07-10 22:33:29,True
Pumpjack,2020-09-08 11:57:47,2138,Pumpjack/zh,2020-05-27 10:30:52,True
Radar,2021-12-10 18:16:10,6148,Radar/zh,2018-06-19 09:52:19,True
Rail,2021-03-19 15:18:56,1657,Rail/zh,2021-03-19 15:19:27,False
Rail chain signal,2021-03-19 15:19:55,4146,Rail chain signal/zh,2021-03-19 15:20:14,False
Rail planner,2019-04-26 09:25:20,2962,Rail planner/zh,2017-09-04 19:43:10,True
Rail signal,2021-03-19 15:19:40,3457,Rail signal/zh,2021-03-19 15:19:58,False
Rail signals (research),2017-09-04 13:40:31,217,Rail signals (research)/zh,2018-07-12 12:36:35,False
Railway,2021-08-13 18:29:11,16023,Railway/zh,2019-07-13 14:58:18,True
Railway (research),2017-07-19 16:53:22,309,Railway (research)/zh,2018-07-12 12:38:56,False
Raw fish,2021-04-04 02:25:11,2466,Raw fish/zh,2019-01-08 07:27:31,True
Red wire,2020-09-08 15:09:46,1213,Red wire/zh,2018-07-04 08:12:08,True
Refined concrete,2018-12-19 17:47:38,1068,Refined concrete/zh,2018-07-04 09:00:13,True
Refined hazard concrete,2019-09-16 07:32:16,383,Refined hazard concrete/zh,2018-07-04 09:05:14,True
Repair pack,2020-06-11 09:12:41,835,Repair pack/zh,2020-12-05 01:38:29,False
Requester chest,2021-03-25 15:55:54,2750,Requester chest/zh,2018-07-17 21:05:40,True
Research,2020-05-12 08:17:00,5674,Research/zh,2018-07-12 10:59:13,True
Roadmap,2021-03-01 11:54:33,788,Roadmap/zh,2018-07-13 08:29:50,True
Roboport,2022-01-13 17:19:43,4876,Roboport/zh,2018-07-04 09:18:48,True
Robotics (research),2017-07-19 16:56:35,109,Robotics (research)/zh,2018-07-12 12:20:40,False
Robots,2019-03-28 14:42:20,124,Robots/zh,2022-01-22 03:39:52,False
Rocket,2021-10-29 16:55:57,776,Rocket/zh,2018-07-19 02:48:23,True
Rocket control unit,2021-02-25 18:50:57,313,Rocket control unit/zh,2018-07-18 03:41:37,True
Rocket control unit (research),2019-06-18 10:11:18,118,Rocket control unit (research)/zh,2021-11-15 18:13:52,False
Rocket damage (research),2019-03-05 08:15:21,2079,Rocket damage (research)/zh,2019-02-28 12:26:02,True
Rocket fuel,2019-09-16 04:07:23,1074,Rocket fuel/zh,2018-07-18 08:39:14,True
Rocket fuel (research),2020-10-27 13:14:51,247,Rocket fuel (research)/zh,2021-11-15 18:10:45,False
Rocket launcher,2021-10-29 16:55:53,595,Rocket launcher/zh,2017-08-14 17:50:17,True
Rocket part,2019-09-16 11:00:36,4000,Rocket part/zh,2018-07-18 03:39:30,True
Rocket shooting speed (research),2019-03-05 08:15:27,2160,Rocket shooting speed (research)/zh,2019-02-28 12:25:53,True
Rocket silo,2021-11-12 16:22:58,5906,Rocket silo/zh,2021-03-19 15:05:49,True
Rocket silo (research),2021-08-06 17:26:23,3018,Rocket silo (research)/zh,2018-11-01 17:28:55,True
Rocketry (research),2017-07-19 16:59:15,109,Rocketry (research)/zh,2018-07-12 08:55:12,False
Satellite,2021-03-19 15:05:47,600,Satellite/zh,2021-03-19 15:06:08,False
Science pack,2021-11-04 19:14:44,6350,Science pack/zh,2021-08-06 17:30:19,True
Shotgun,2021-10-29 16:56:07,1299,Shotgun/zh,2018-07-18 07:28:02,True
Shotgun shell damage (research),2019-03-05 08:15:28,2196,Shotgun shell damage (research)/zh,2019-02-28 12:25:56,True
Shotgun shell shooting speed (research),2019-03-05 08:15:25,1825,Shotgun shell shooting speed (research)/zh,2019-02-28 12:25:48,True
Shotgun shells,2021-10-29 16:56:10,289,Shotgun shells/zh,2022-01-22 06:19:41,False
Slowdown capsule,2020-08-13 09:34:09,737,Slowdown capsule/zh,2018-07-19 08:16:54,True
Small electric pole,2019-09-16 07:13:24,1479,Small electric pole/zh,2018-06-19 09:03:27,True
Solar energy (research),2020-09-12 22:31:09,190,Solar energy (research)/zh,2022-01-22 04:09:24,False
Solar panel,2019-02-15 21:34:39,2896,Solar panel/zh,2017-09-09 16:32:10,True
Solid fuel,2019-09-16 10:49:37,2106,Solid fuel/zh,2017-08-17 10:41:44,True
Space science pack,2020-09-17 18:18:07,2941,Space science pack/zh,2018-07-18 03:13:14,True
Space science pack (research),2020-06-29 12:49:02,377,Space science pack (research)/zh,2019-12-24 05:19:58,True
Speed module,2020-12-25 05:47:11,1309,Speed module/zh,2018-07-18 04:58:44,True
Speed module (research),2017-07-19 17:04:27,127,Speed module (research)/zh,2018-07-12 13:00:07,False
Speed module 2,2020-12-25 05:47:54,1083,Speed module 2/zh,2018-07-18 05:01:07,True
Speed module 2 (research),2017-07-19 17:04:35,129,Speed module 2 (research)/zh,2018-07-12 13:01:47,False
Speed module 3,2020-12-25 05:48:12,1131,Speed module 3/zh,2018-07-18 05:06:55,True
Speed module 3 (research),2017-07-19 17:04:48,129,Speed module 3 (research)/zh,2018-07-12 13:03:49,False
Spidertron,2021-05-25 10:34:19,4260,Spidertron/zh,2021-09-11 15:06:48,False
Spidertron (research),2020-08-14 09:08:22,149,Spidertron (research)/zh,2021-11-15 17:53:49,False
Spidertron remote,2020-11-27 15:03:16,1700,Spidertron remote/zh,2021-09-11 14:31:50,False
Splitter,2019-09-13 22:57:43,1639,Splitter/zh,2019-11-21 03:59:31,False
Splitters,2017-09-02 17:43:03,149,Splitters/zh,2018-06-23 08:55:09,False
Stack,2021-11-24 11:08:52,6763,Stack/zh,2018-08-25 17:51:41,True
Stack filter inserter,2019-09-16 04:30:01,1554,Stack filter inserter/zh,2018-06-19 08:45:18,True
Stack inserter,2021-01-22 15:58:48,2310,Stack inserter/zh,2018-06-19 08:28:53,True
Stack inserter (research),2018-11-30 19:42:13,308,Stack inserter (research)/zh,2018-07-12 08:32:19,True
Steam,2021-05-23 04:30:05,2634,Steam/zh,2018-07-17 10:07:58,True
Steam engine,2020-04-29 05:17:26,2272,Steam engine/zh,2018-07-10 09:11:09,True
Steam turbine,2020-10-26 12:01:55,1717,Steam turbine/zh,2018-07-17 04:28:21,True
Steel axe,2019-09-17 11:19:17,1345,Steel axe/zh,2019-02-26 17:18:33,True
Steel axe (research),2020-10-24 08:35:17,207,Steel axe (research)/zh,2022-01-22 04:28:24,False
Steel chest,2018-12-06 12:05:20,566,Steel chest/zh,2018-06-17 13:58:22,True
Steel furnace,2019-03-17 04:26:54,1967,Steel furnace/zh,2017-09-02 19:47:24,True
Steel plate,2019-04-07 12:30:39,840,Steel plate/zh,2017-09-09 16:24:39,True
Steel processing (research),2017-09-04 18:44:53,383,Steel processing (research)/zh,2018-07-12 12:22:30,False
Stone,2018-08-25 10:38:45,666,Stone/zh,2017-09-09 16:22:46,True
Stone brick,2019-09-16 07:26:00,1784,Stone brick/zh,2018-07-04 08:47:04,True
Stone furnace,2020-09-16 08:22:02,1398,Stone furnace/zh,2017-09-02 19:45:49,True
Stone wall (research),2020-11-23 20:55:47,111,Stone wall (research)/zh,2020-11-23 20:56:11,False
Storage,2019-03-05 13:34:49,2442,Storage/zh,2018-07-09 03:47:39,True
Storage chest,2021-04-04 00:05:05,2410,Storage chest/zh,2018-06-28 07:34:01,True
Storage tank,2021-01-06 10:28:09,3215,Storage tank/zh,2018-07-05 09:12:59,True
Submachine gun,2020-05-07 17:34:29,734,Submachine gun/zh,2017-08-14 17:46:06,True
Substation,2019-09-16 07:14:13,902,Substation/zh,2018-06-20 07:17:36,True
Sulfur,2021-10-06 10:16:18,575,Sulfur/zh,2018-07-11 11:40:10,True
Sulfur processing (research),2020-09-17 05:46:03,300,Sulfur processing (research)/zh,2018-07-12 12:24:12,True
Sulfuric acid,2020-09-16 19:17:31,791,Sulfuric acid/zh,2017-09-09 16:25:48,True
Tank,2021-10-29 16:56:21,6178,Tank/zh,2018-06-28 06:13:07,True
Tank (research),2020-11-23 20:55:02,105,Tank (research)/zh,2020-11-23 20:55:25,False
Technologies,2020-08-15 22:35:03,9988,Technologies/zh,2019-03-10 19:42:00,True
Tile,2019-03-28 15:41:04,4751,Tile/zh,2014-10-26 11:57:26,True
Time,2020-12-26 02:22:44,3505,Time/zh,2020-12-11 18:48:29,True
Toolbelt (research),2019-09-15 06:37:02,152,Toolbelt (research)/zh,2022-01-22 04:03:02,False
Train stop,2021-03-19 15:19:22,4374,Train stop/zh,2021-03-19 15:19:44,False
Transport,2019-03-30 12:56:25,430,Transport/zh,2018-07-14 01:32:12,True
Transport belt,2019-11-07 12:31:05,2653,Transport belt/zh,2019-11-21 03:39:47,False
Transport belts,2017-09-02 17:02:21,201,Transport belts/zh,2018-06-23 08:55:15,False
Tree,2021-11-09 03:30:37,4256,Tree/zh,2018-11-17 04:32:22,True
Turret,2020-04-29 03:42:10,299,Turret/zh,2022-01-22 06:26:24,False
Tutorials,2021-12-17 17:20:47,1602,Tutorials/zh,2015-07-29 02:41:17,True
Underground belt,2020-09-12 23:32:42,935,Underground belt/zh,2019-11-21 04:05:18,True
Underground belts,2017-09-02 17:03:29,181,Underground belts/zh,2018-06-23 08:55:52,False
Units,2021-09-23 17:47:25,6075,Units/zh,2017-09-04 19:52:55,True
Upcoming features,2021-03-01 11:54:31,963,Upcoming features/zh,2018-06-23 09:17:08,True
Uranium-235,2020-01-08 17:17:11,829,Uranium-235/zh,2018-07-17 10:17:57,True
Uranium-238,2020-09-11 21:25:42,660,Uranium-238/zh,2019-01-25 20:08:31,True
Uranium ammo (research),2020-09-25 03:39:28,333,Uranium ammo (research)/zh,2018-07-12 08:58:49,True
Uranium cannon shell,2021-10-29 16:56:32,1229,Uranium cannon shell/zh,2018-07-19 02:07:44,True
Uranium fuel cell,2018-10-07 14:49:05,711,Uranium fuel cell/zh,2018-07-17 14:18:18,True
Uranium ore,2019-01-27 23:03:59,1325,Uranium ore/zh,2018-07-17 08:35:12,True
Uranium processing,2021-04-20 06:26:52,2798,Uranium processing/zh,2018-07-18 02:36:10,True
Uranium processing (research),2020-09-14 06:46:21,330,Uranium processing (research)/zh,2019-12-24 05:39:50,True
Uranium rounds magazine,2021-10-29 16:56:30,374,Uranium rounds magazine/zh,2018-07-18 08:13:02,True
Used up uranium fuel cell,2018-07-17 21:20:53,419,Used up uranium fuel cell/zh,2018-07-17 21:21:10,False
Utility science pack,2020-09-17 18:17:27,3016,Utility science pack/zh,2019-02-26 17:26:31,True
Utility science pack (research),2020-09-14 06:49:50,193,Utility science pack (research)/zh,2021-09-11 13:59:30,False
Vehicle,2020-10-27 13:15:15,271,Vehicle/zh,2018-07-18 23:46:19,True
Wagon,2017-12-24 14:31:19,260,Wagon/zh,2018-07-04 10:09:45,False
Wall,2022-01-12 04:26:21,3412,Wall/zh,2019-02-26 17:26:50,True
Water,2021-03-15 18:41:35,2466,Water/zh,2017-12-25 13:35:08,True
Weapon shooting speed (research),2019-04-12 14:42:48,2533,Weapon shooting speed (research)/zh,2019-12-24 04:36:41,False
Weapons,2017-09-02 17:08:36,435,Weapons/zh,2018-07-18 23:49:47,False
Wood,2020-12-11 19:06:12,775,Wood/zh,2019-02-26 17:23:56,True
Wood (archived),2019-02-26 17:16:45,268,Wood (archived)/zh,2019-02-26 17:17:49,False
Wooden chest,2019-02-27 10:02:19,608,Wooden chest/zh,2020-08-17 13:24:49,False
Worker robot cargo size (research),2019-05-09 07:09:10,1350,Worker robot cargo size (research)/zh,2019-02-28 12:25:41,True
Worker robot speed (research),2019-11-03 13:10:28,3518,Worker robot speed (research)/zh,2019-02-28 12:25:51,True
Achievement file format,2020-04-29 04:08:09,6544,Achievement file format/zh,,True
Blueprint library,2021-11-17 11:05:38,2039,Blueprint library/zh,,True
Blueprint string format,2020-09-17 01:15:46,11744,Blueprint string format/zh,,True
Command line parameters,2021-11-24 12:01:10,11498,Command line parameters/zh,,True
Data.raw,2021-06-18 15:56:14,85371,Data.raw/zh,,True
Data types,2019-06-17 20:08:00,4635,Data types/zh,,True
Desynchronization,2019-08-10 23:12:09,9652,Desynchronization/zh,,True
Download API,2020-08-12 09:28:59,4790,Download API/zh,,True
Fluids,2020-08-17 10:34:55,174,Fluids/zh,,True
Ghost,2021-05-07 09:25:48,5269,Ghost/zh,,True
Glossary,2021-09-10 10:44:52,18145,Glossary/zh,,True
Iron working (research),2018-01-04 12:59:23,164,Iron working (research)/zh,,True
Log file,2019-05-02 08:05:22,3363,Log file/zh,,True
Map exchange string format,2021-12-10 12:45:49,19489,Map exchange string format/zh,,True
Map structure,2021-11-29 10:12:39,4577,Map structure/zh,,True
Matchmaking API,2017-01-27 17:12:38,4483,Matchmaking API/zh,,True
Military units and structures,2021-07-03 21:40:45,4395,Military units and structures/zh,,True
Mod portal API,2020-08-12 09:43:46,8878,Mod portal API/zh,,True
Mod settings file format,2019-04-27 20:38:12,1307,Mod settings file format/zh,,True
News,2021-06-18 14:12:21,4987,News/zh,,True
Production statistics,2019-04-12 08:59:07,2334,Production statistics/zh,,True
Property tree,2021-07-01 16:57:23,1477,Property tree/zh,,True
Quickbar,2021-05-10 10:09:50,8602,Quickbar/zh,,True
Refined flammables (research),2020-10-24 04:58:42,2450,Refined flammables (research)/zh,,True
Replay system,2022-01-19 11:32:03,2921,Replay system/zh,,True
Rich text,2020-12-02 11:27:03,6677,Rich text/zh,,True
Rock,2020-05-06 10:16:33,531,Rock/zh,,True
Scenario system,2021-11-15 00:38:42,3146,Scenario system/zh,,True
Shortcut bar,2020-11-16 13:00:02,2044,Shortcut bar/zh,,True
Stronger explosives (research),2021-08-30 04:33:04,2830,Stronger explosives (research)/zh,,True
Supply challenge,2021-12-04 22:53:16,3151,Supply challenge/zh,,True
Tutorial,2021-11-17 11:08:13,1841,Tutorial/zh,,True
Upgrade planner,2021-03-22 12:34:27,10398,Upgrade planner/zh,,True
Uranium,2021-03-01 12:12:44,790,Uranium/zh,,True
Version history,2021-01-19 16:21:11,1341,Version history/zh,,True
Version string format,2018-03-20 20:26:21,762,Version string format/zh,,True
Wave defense,2021-11-17 14:57:25,8149,Wave defense/zh,,True
Web authentication API,2017-08-25 19:04:47,982,Web authentication API/zh,,True
