en_name,en_time,en_len,zh_name,zh_time,need_update
Chests,2018-02-04 13:13:31,683,Chests/zh,2018-07-09 02:36:02,False
Circuit network,2021-12-17 17:18:24,18531,Circuit network/zh,2018-07-13 12:12:51,True
Circuit network (research),2018-07-12 11:52:49,346,Circuit network (research)/zh,2018-07-12 11:54:06,False
Cliff,2021-02-26 09:06:34,1678,Cliff/zh,2018-07-04 09:28:03,True
Cliff explosives,2019-01-08 06:10:25,480,Cliff explosives/zh,2019-01-08 06:11:50,False
Cliff explosives (research),2017-12-13 19:02:28,116,Cliff explosives (research)/zh,2018-07-12 11:54:50,False
Cluster grenade,2021-10-29 16:56:28,739,Cluster grenade/zh,2018-07-19 07:32:01,True
Coal,2019-04-03 21:26:22,880,Coal/zh,2017-09-09 16:08:24,True
Coal liquefaction (research),2018-11-27 13:16:12,231,Coal liquefaction (research)/zh,2022-01-22 05:26:25,False
Combat robot capsules,2018-02-15 16:08:13,176,Combat robot capsules/zh,2018-07-04 10:04:40,False
Combat robot damage (research),2019-03-05 08:15:34,2048,Combat robot damage (research)/zh,2019-02-28 12:25:52,True
Combat shotgun,2021-10-29 16:56:09,399,Combat shotgun/zh,2018-07-18 07:50:51,True
Combinators,2018-07-10 03:50:57,322,Combinators/zh,2018-07-10 03:52:37,False
Concrete,2019-09-16 07:28:54,1529,Concrete/zh,2018-07-04 08:51:32,True
Concrete (research),2017-07-19 15:46:03,109,Concrete (research)/zh,2018-07-12 11:58:53,False
Console,2021-12-26 20:38:22,34017,Console/zh,2019-05-02 17:23:40,True
Constant combinator,2021-12-17 17:17:58,1776,Constant combinator/zh,2018-07-10 03:45:10,True
Construction robot,2020-10-21 10:31:31,3184,Construction robot/zh,2018-06-28 05:59:56,True
Construction robotics (research),2022-01-14 19:06:21,505,Construction robotics (research)/zh,2018-07-12 09:26:27,True
Copper cable,2020-08-17 04:30:11,913,Copper cable/zh,2017-08-17 11:34:32,True
Copper ore,2020-05-06 09:57:49,1049,Copper ore/zh,2017-09-10 18:12:10,True
Copper plate,2018-07-30 18:03:46,662,Copper plate/zh,2017-08-17 10:39:17,True
Crafting,2021-03-15 17:42:19,7319,Crafting/zh,2018-07-29 07:38:15,True
Crude oil,2020-09-14 06:31:22,1594,Crude oil/zh,2017-09-09 16:25:43,True
Damage,2021-12-20 21:24:07,5262,Damage/zh,2021-04-09 11:21:14,True
Debug mode,2020-11-25 14:25:35,7956,Debug mode/zh,2017-02-03 19:56:19,True
Decider combinator,2021-12-17 17:18:00,5805,Decider combinator/zh,2018-07-10 08:26:43,True
Deconstruction planner,2021-04-05 09:28:51,17932,Deconstruction planner/zh,2018-07-10 07:11:56,True
Defender (research),2021-10-27 14:42:40,332,Defender (research)/zh,2020-11-23 21:13:05,True
Defender capsule,2020-01-25 19:44:27,1685,Defender capsule/zh,2018-07-24 01:39:07,True
Destroyer (research),2020-11-23 21:23:58,109,Destroyer (research)/zh,2020-11-23 21:24:00,False
Destroyer capsule,2020-01-25 19:44:57,1504,Destroyer capsule/zh,2018-07-24 01:39:10,True
Discharge defense,2020-09-09 21:25:31,804,Discharge defense/zh,2018-07-26 03:50:49,True
Discharge defense (research),2017-07-19 15:51:23,118,Discharge defense (research)/zh,2018-07-12 12:43:44,False
Discharge defense remote,2020-11-25 15:24:41,260,Discharge defense remote/zh,2022-01-22 05:57:57,False
Distractor (research),2020-11-23 21:18:19,110,Distractor (research)/zh,2020-11-23 21:18:18,True
Distractor capsule,2021-03-11 17:21:03,1507,Distractor capsule/zh,2018-07-24 01:36:48,True
Effect transmission (research),2020-09-14 06:54:08,199,Effect transmission (research)/zh,2022-01-22 04:16:11,False
Efficiency module,2021-01-04 12:04:22,830,Efficiency module/zh,2018-07-18 05:09:44,True
Efficiency module (research),2017-07-19 16:04:29,127,Efficiency module (research)/zh,2018-07-12 12:56:59,False
Efficiency module 2,2020-12-25 18:53:26,832,Efficiency module 2/zh,2018-07-18 05:12:07,True
Efficiency module 2 (research),2017-07-19 16:04:56,129,Efficiency module 2 (research)/zh,2018-07-12 12:57:40,False
Efficiency module 3,2020-12-25 18:53:45,832,Efficiency module 3/zh,2018-07-18 05:13:13,True
Efficiency module 3 (research),2017-07-19 16:05:10,129,Efficiency module 3 (research)/zh,2018-07-12 12:58:20,False
Electric energy accumulators (research),2020-09-12 22:26:45,306,Electric energy accumulators (research)/zh,2022-01-22 06:49:55,False
Electric energy distribution 1 (research),2017-09-04 12:59:47,393,Electric energy distribution 1 (research)/zh,2018-07-12 07:30:28,False
Electric energy distribution 2 (research),2018-08-30 10:36:17,348,Electric energy distribution 2 (research)/zh,2018-07-12 07:31:05,True
Electric engine (research),2017-07-19 16:06:14,224,Electric engine (research)/zh,2018-07-12 12:05:14,False
Electric engine unit,2019-09-16 05:26:18,477,Electric engine unit/zh,2017-09-02 19:38:12,True
Electric furnace,2020-04-13 23:34:02,1498,Electric furnace/zh,2017-09-10 09:41:13,True
Electric mining drill,2021-02-16 10:55:32,2669,Electric mining drill/zh,2017-09-10 09:35:48,True
Electric system,2020-09-26 23:38:55,10671,Electric system/zh,2018-07-05 09:04:59,True
Electronic circuit,2020-07-08 07:07:50,1308,Electronic circuit/zh,2017-08-17 11:39:06,True
Electronics (research),2017-08-13 09:09:03,196,Electronics (research)/zh,2018-07-12 12:00:47,False
Enemies,2022-01-06 01:22:24,22890,Enemies/zh,2020-12-31 07:32:43,True
Energy and work,2021-12-12 20:21:54,7382,Energy and work/zh,2018-11-17 12:00:42,True
Energy shield,2020-08-31 09:12:25,1745,Energy shield/zh,2018-11-15 13:44:33,True
Energy shield MK2,2021-08-05 11:13:27,1702,Energy shield MK2/zh,2018-11-15 13:45:21,True
Energy shield MK2 equipment (research),2021-10-11 13:55:21,226,Energy shield MK2 equipment (research)/zh,2022-01-22 05:19:38,False
Energy shield equipment (research),2021-10-11 13:51:37,224,Energy shield equipment (research)/zh,2022-01-22 05:13:52,False
Energy weapons damage (research),2021-11-08 10:20:42,2895,Energy weapons damage (research)/zh,2021-11-17 11:19:44,False
Engine (research),2017-07-19 16:09:29,196,Engine (research)/zh,2018-07-12 12:03:27,False
Engine unit,2019-09-16 10:17:11,641,Engine unit/zh,2017-09-09 16:08:25,True
Equipment modules,2021-10-27 14:26:45,1339,Equipment modules/zh,2018-11-17 12:01:31,True
Exoskeleton,2021-05-06 23:46:39,2539,Exoskeleton/zh,2018-07-27 04:34:14,True
Exoskeleton equipment (research),2017-07-19 16:10:00,221,Exoskeleton equipment (research)/zh,2018-07-12 12:48:18,False
Explosive cannon shell,2021-10-29 16:56:27,1424,Explosive cannon shell/zh,2021-10-29 16:44:13,True
Explosive rocket,2021-10-29 16:56:06,953,Explosive rocket/zh,2018-07-19 02:51:20,True
Explosive rocketry (research),2017-08-14 00:43:23,296,Explosive rocketry (research)/zh,2018-07-12 08:58:07,False
Explosive uranium cannon shell,2021-10-29 16:56:34,1581,Explosive uranium cannon shell/zh,2018-07-19 02:32:02,True
Explosives,2019-12-22 20:27:06,366,Explosives/zh,2017-08-17 11:49:06,True
Explosives (research),2020-09-20 00:16:21,304,Explosives (research)/zh,2018-07-12 12:06:09,True
Express splitter,2019-09-15 08:30:48,1433,Express splitter/zh,2018-06-19 04:41:03,True
Express transport belt,2021-02-25 10:24:56,3054,Express transport belt/zh,2018-07-26 15:58:40,True
Express underground belt,2020-09-12 23:32:27,1271,Express underground belt/zh,2018-06-19 03:24:14,True
Fast inserter,2018-09-25 14:46:58,2013,Fast inserter/zh,2018-06-19 07:46:56,True
Fast inserter (research),2019-10-10 13:49:12,112,Fast inserter (research)/zh,2019-12-24 05:06:10,False
Fast splitter,2019-04-11 11:48:16,1358,Fast splitter/zh,2019-11-21 06:17:21,False
Fast transport belt,2021-08-13 19:02:03,2490,Fast transport belt/zh,2021-08-13 19:01:57,True
Fast underground belt,2020-09-12 23:31:13,1034,Fast underground belt/zh,2018-06-19 03:26:38,True
Filter inserter,2019-09-16 04:30:26,1062,Filter inserter/zh,2018-06-19 09:08:34,True
Firearm magazine,2020-05-07 17:34:05,459,Firearm magazine/zh,2017-10-21 13:01:15,True
Flamethrower,2021-10-29 16:56:00,1164,Flamethrower/zh,2018-07-18 07:55:23,True
Flamethrower (research),2017-07-19 16:14:42,112,Flamethrower (research)/zh,2018-07-12 08:48:56,False
Flamethrower ammo,2021-10-29 16:55:58,613,Flamethrower ammo/zh,2018-07-19 03:47:30,True
Flamethrower damage (research),2019-03-05 08:15:35,2705,Flamethrower damage (research)/zh,2019-02-28 12:26:21,True
Flamethrower turret,2019-11-22 21:12:04,2329,Flamethrower turret/zh,2018-07-19 07:06:44,True
Flammables (research),2017-08-14 00:32:32,242,Flammables (research)/zh,2018-07-12 12:08:00,False
Flight (research),2019-02-26 17:23:17,118,Flight (research)/zh,2019-02-26 17:23:24,False
Fluid handling (research),2020-09-17 00:19:09,652,Fluid handling (research)/zh,2018-07-11 09:24:31,True
Fluid system,2022-01-11 22:05:19,11523,Fluid system/zh,2018-07-10 21:55:46,True
Fluid wagon,2021-03-19 15:31:01,2187,Fluid wagon/zh,2021-03-19 15:31:22,False
Fluid wagon (research),2018-01-07 13:23:45,306,Fluid wagon (research)/zh,2018-07-12 12:35:23,False
